weed_type2,till_id,cctrt_id,straw_id,yearF,response,SE,df,lower.CL,upper.CL
A,surface,rad_L,retained,Y2019,187.31573988869977,59.97181326169929,354,99.66522646237583,351.2846879312688
P,surface,rad_L,retained,Y2019,2.1286095836803973,0.9963500121183418,354,0.6724156591461081,4.852730374513643
A,inversion,rad_M,retained,Y2019,332.38555753633244,106.17135037403665,354,177.21310458974847,622.6686703240586
P,inversion,rad_M,retained,Y2019,0.10185141103241853,0.35090018020978897,354,-0.4109991980223183,1.0612476721891981
A,notill,rad_M,retained,Y2019,31.685511506769323,10.409163852014348,354,16.472222023566356,60.14520872148217
P,notill,rad_M,retained,Y2019,1.3203618764090177,0.7389520877757833,354,0.24036235049409554,3.3407309447498794
A,surface,rad_M,retained,Y2019,203.0563198744085,64.98462378917263,354,108.0794410673106,380.7307943023996
P,surface,rad_M,retained,Y2019,1.95410306351803,0.9407759403568418,354,0.5791322279168212,4.526278772360277
A,inversion,mix_E,removed,Y2020,137.5443978037515,44.12142478606464,354,73.05967864529296,258.1767951726584
P,inversion,mix_E,removed,Y2020,0.101851411032408,0.35090018022057806,354,-0.4109991980222928,1.0612476721891513
A,notill,mix_E,removed,Y2020,91.06615234764297,29.319769549980236,354,48.21447395248769,171.22934082935012
P,notill,mix_E,removed,Y2020,16.764081781788157,5.657223320726949,354,8.495888747890987,32.231497327739795
A,surface,mix_E,removed,Y2020,58.76702876950051,19.03365640406985,354,30.948797745854865,110.8069529986467
P,surface,mix_E,removed,Y2020,15.726569733147148,5.326812921339621,354,7.941280910035362,30.290610132137445
A,inversion,mix_M,removed,Y2020,85.449693158071085,27.53112861167438,354,45.21216444522611,160.7225580503492
P,inversion,mix_M,removed,Y2020,0.10185141103240766,0.3509001802133911,354,-0.410999198022319,1.0612476721892248
A,notill,mix_M,removed,Y2020,38.14473694166629,12.466195631867006,354,19.925036916042647,72.22856520541143
P,notill,mix_M,removed,Y2020,4.906021102458925,1.8808560287074148,354,2.157096438789438,10.048469991010826
A,surface,mix_M,removed,Y2020,85.91979908762643,27.68084050015352,354,45.46346218532916,161.6019912872407
P,surface,mix_M,removed,Y2020,1.2660467938862585,0.7216546808299541,354,0.21132792094663497,3.2391230180424113
A,inversion,nocc,removed,Y2020,104.43814337582948,33.5782693943252,354,55.362546152406466,196.24449723193518
P,inversion,nocc,removed,Y2020,0.10185141103240822,0.35090018020618874,354,-0.41099919802231855,1.0612476721892246
A,notill,nocc,removed,Y2020,57.05367218788568,18.48801374557287,354,30.03291345280052,107.6017547022832
P,notill,nocc,removed,Y2020,0.9084626262995603,0.6077769405269288,354,0.02017931472418738,2.5701856952148066
A,surface,nocc,removed,Y2020,93.73221135018952,30.168813782358683,354,49.63963062506438,176.21677185488974
P,surface,nocc,removed,Y2020,0.10185141103239669,0.3509001802169891,354,-0.41099919802231577,1.0612476721891921
A,inversion,rad_L,removed,Y2020,114.19763473784253,36.6863175783574,354,60.57953655742673,214.50170383009805
P,inversion,rad_L,removed,Y2020,0.10185141103240844,0.35090018020618957,354,-0.4109991980223191,1.0612476721892277
A,notill,rad_L,removed,Y2020,43.67583410712559,14.227651825141109,354,22.881715678399562,82.57566014289833
P,notill,rad_L,removed,Y2020,0.6476521645741941,0.5247181568135076,354,-0.11923836862433655,2.0822841944032344
A,surface,rad_L,removed,Y2020,76.33106502338491,24.62717239430273,354,40.33775104384448,143.66422257245827
P,surface,rad_L,removed,Y2020,0.9084626262995823,0.6077769405125262,354,0.020179314724184938,2.5701856952148123
A,inversion,rad_M,removed,Y2020,119.15909597754732,38.26636514721181,354,63.23171326647159,223.7831734807273
P,inversion,rad_M,removed,Y2020,0.10185141103239646,0.3509001802133914,354,-0.4109991980223079,1.061247672189203
A,notill,rad_M,removed,Y2020,47.48749619434545,15.441529576952199,354,24.91926085351259,89.70618566184385
P,notill,rad_M,removed,Y2020,0.8844520274973582,0.6001304254247304,354,0.007344315550181071,2.525268757782548
A,surface,rad_M,removed,Y2020,74.32501111130964,23.988316127781083,354,39.26540376435517,139.91147159791598
P,surface,rad_M,removed,Y2020,0.10185141103240766,0.35090018021339026,354,-0.4109991980223069,1.0612476721892217
A,inversion,mix_E,retained,Y2020,136.4719453188723,43.77988711008776,354,72.48639320285747,256.17054445149006
P,inversion,mix_E,retained,Y2020,0.10185141103240777,0.3509001802133946,354,-0.410999198022311,1.0612476721892135
A,notill,mix_E,retained,Y2020,49.75984057740373,16.165189814350896,354,26.13395518578792,93.95708966132355
P,notill,mix_E,retained,Y2020,15.36112351099559,5.2104313985771995,354,7.745929598804254,29.606965162245444
A,surface,mix_E,retained,Y2020,58.36056306291568,18.90421164591429,354,30.73151924100636,110.04657234918939
P,surface,mix_E,retained,Y2020,1.9667277231779976,0.9447964419559661,354,0.585880809976031,4.5498958863157215
A,inversion,mix_M,retained,Y2020,146.95972208926187,47.11986809284241,354,78.09269262478365,275.7901639736465
P,inversion,mix_M,retained,Y2020,0.10185141103240722,0.3509001802133893,354,-0.41099919802230644,1.0612476721892186
A,notill,mix_M,retained,Y2020,60.496565841899425,19.584451968915836,354,31.87333141028221,114.04242034819825
P,notill,mix_M,retained,Y2020,2.603016479346445,1.1474316039879104,354,0.9260125046130345,5.740209484283966
A,surface,mix_M,retained,Y2020,68.44451035245918,22.1155874138345,354,36.12194936722465,128.9107428434522
P,surface,mix_M,retained,Y2020,0.6831058318833052,0.5360088790593406,354,-0.10028641351583716,2.148607827952858
A,inversion,nocc,retained,Y2020,125.22076739961628,40.19679022449263,354,66.47201344957654,235.1228205358671
P,inversion,nocc,retained,Y2020,0.10185141103239646,0.350900180216991,354,-0.41099919802230656,1.0612476721891984
A,notill,nocc,retained,Y2020,53.83121736837759,17.461777389475728,354,28.310332300729257,101.57346683248514
P,notill,nocc,retained,Y2020,1.2373568734100502,0.7125179694983209,354,0.195991564338157,3.1854524130907196
A,surface,nocc,retained,Y2020,81.24469371493677,26.19198701137646,354,42.96435859815465,152.85621125718473
P,surface,nocc,retained,Y2020,0.8334736696655834,0.5838956456996105,354,-0.019906449249659522,2.429902885069921
A,inversion,rad_L,retained,Y2020,137.50230583395177,44.10802000232098,354,73.03717814865932,258.09805318085586
P,inversion,rad_L,retained,Y2020,0.10185141103241908,0.35090018021699176,354,-0.41099919802231855,1.0612476721892006
A,notill,rad_L,retained,Y2020,48.72202566270242,15.83468296258452,354,25.579185449194625,92.01563589026928
P,notill,rad_L,retained,Y2020,2.378665489703925,1.0759838553083312,354,0.8060844349106757,5.320513189008706
A,surface,rad_L,retained,Y2020,71.93954864124065,23.228631834196914,354,37.99024152932886,135.44895613140787
P,surface,rad_L,retained,Y2020,0.10185141103241875,0.3509001802097913,354,-0.4109991980223092,1.0612476721892063
A,inversion,rad_M,retained,Y2020,121.62292245619628,39.0510055687002,354,64.5487654182659,228.39228551066782
P,inversion,rad_M,retained,Y2020,0.10185141103240722,0.3509001802133893,354,-0.41099919802230644,1.0612476721892186
A,notill,rad_M,retained,Y2020,55.914693269155855,18.125289784913683,354,29.42406593502224,105.4710521217026
P,notill,rad_M,retained,Y2020,0.10185141103240677,0.3509001802133911,354,-0.41099919802231977,1.0612476721892015
A,surface,rad_M,retained,Y2020,63.18198782314221,20.43966261517531,354,33.30883867084739,119.06607394818685
P,surface,rad_M,retained,Y2020,0.1018514110323958,0.35090018021339037,354,-0.41099919802230744,1.0612476721892217
